game,seed,agent,round,fitness,length,loser,dmg0,dmg1,hits0,hits1
gamea,11,dtree,0,64.32,46.7,1,0,468,0,63
gamea,11,dtree,1,48.53,42.5,1,0,357,0,48
gamea,11,dtree,2,45.85,42.8,1,0,335,0,45
gamea,11,dtree,3,62.6,47.1,1,24,401,3,54
gamea,11,dtree,4,-405.67,60.0,draw,0,1108,0,149
gamea,11,utility,0,51.72,39.4,1,141,112,18,15
gamea,11,utility,1,43.37,28.0,1,102,186,13,25
gamea,11,utility,2,28.35,27.4,1,220,45,28,6
gamea,11,utility,3,-837.85,60.0,draw,71,1204,9,162
gamea,11,utility,4,-28.0,60.0,draw,149,0,19,0
gamea,20260707,dtree,0,71.08,45.9,0,0,513,0,69
gamea,20260707,dtree,1,53.14,41.0,0,16,364,2,49
gamea,20260707,dtree,2,57.41,40.0,1,47,327,6,44
gamea,20260707,dtree,3,-796.2,60.0,draw,0,1442,0,194
gamea,20260707,dtree,4,64.72,47.3,1,0,483,0,65
gamea,20260707,utility,0,-8.13,60.0,draw,110,74,14,10
gamea,20260707,utility,1,-705.04,60.0,draw,55,1063,7,143
gamea,20260707,utility,2,-980.08,60.0,draw,110,1338,14,180
gamea,20260707,utility,3,0.32,15.3,1,212,0,27,0
gamea,20260707,utility,4,1.37,17.4,1,204,0,26,0
gameb,11,dtree,0,-1.7,25.3,0,127,0,15,0
gameb,11,dtree,1,-4.27,24.0,1,34,36,4,3
gameb,11,dtree,2,-4.88,24.1,1,110,0,13,0
gameb,11,dtree,3,-8.97,20.0,0,119,0,14,0
gameb,11,dtree,4,-14.77,21.2,0,51,0,6,0
gameb,11,utility,0,-23.32,14.7,0,59,0,7,0
gameb,11,utility,1,-38.0,60.0,draw,85,0,10,0
gameb,11,utility,2,-106.77,60.0,draw,68,0,8,0
gameb,11,utility,3,-39.0,60.0,draw,68,0,8,0
gameb,11,utility,4,-34.0,60.0,draw,119,0,14,0
gameb,20260707,dtree,0,6.65,33.7,1,127,0,15,0
gameb,20260707,dtree,1,-6.65,28.4,1,68,0,8,0
gameb,20260707,dtree,2,-10.17,27.8,1,42,0,5,0
gameb,20260707,dtree,3,-11.23,24.8,0,51,0,6,0
gameb,20260707,dtree,4,5.95,26.0,1,186,0,22,0
gameb,20260707,utility,0,-11.15,24.9,0,68,0,8,0
gameb,20260707,utility,1,-39.0,60.0,draw,85,0,10,0
gameb,20260707,utility,2,-38.0,60.0,draw,93,0,11,0
gameb,20260707,utility,3,-21.0,15.0,0,76,0,9,0
gameb,20260707,utility,4,-16.53,19.5,0,68,0,8,0
gamec,11,dtree,0,15.32,26.2,1,36,171,6,19
gamec,11,dtree,1,22.82,34.9,1,30,189,5,21
gamec,11,dtree,2,20.76,28.3,1,47,162,8,18
gamec,11,dtree,3,42.73,53.5,0,71,198,12,22
gamec,11,dtree,4,49.82,54.4,1,101,180,17,20
gamec,11,utility,0,-23.5,60.0,draw,47,63,8,7
gamec,11,utility,1,24.81,60.0,draw,243,99,41,11
gamec,11,utility,2,-909.43,60.0,draw,1134,27,191,3
gamec,11,utility,3,40.46,48.4,1,59,180,10,20
gamec,11,utility,4,-1.81,60.0,draw,59,468,10,52
gamec,20260707,dtree,0,77.29,49.8,1,160,180,27,20
gamec,20260707,dtree,1,58.87,43.5,1,107,162,18,18
gamec,20260707,dtree,2,10.92,33.0,1,30,90,5,10
gamec,20260707,dtree,3,31.09,30.5,0,83,108,14,12
gamec,20260707,dtree,4,25.75,43.8,1,30,126,5,14
gamec,20260707,utility,0,-10.13,60.0,draw,59,144,10,16
gamec,20260707,utility,1,30.16,37.3,1,59,126,10,14
gamec,20260707,utility,2,-95.04,60.0,draw,0,54,0,6
gamec,20260707,utility,3,11.96,37.6,1,12,135,2,15
gamec,20260707,utility,4,-23.06,60.0,draw,30,117,5,13
gamed,11,dtree,0,2.43,37.7,1,19,27,2,2
gamed,11,dtree,1,7.5,52.3,1,9,123,1,9
gamed,11,dtree,2,-18.91,19.2,1,9,41,1,3
gamed,11,dtree,3,-9.19,17.2,1,28,123,3,9
gamed,11,dtree,4,-6.27,26.2,1,37,27,4,2
gamed,11,utility,0,-40.0,60.0,draw,0,123,0,9
gamed,11,utility,1,-41.0,60.0,draw,0,123,0,9
gamed,11,utility,2,-47.0,60.0,draw,0,0,0,0
gamed,11,utility,3,-9.95,29.0,1,0,82,0,6
gamed,11,utility,4,-41.0,60.0,draw,0,96,0,7
gamed,20260707,dtree,0,8.78,45.9,1,19,27,2,2
gamed,20260707,dtree,1,-19.4,19.8,1,9,27,1,2
gamed,20260707,dtree,2,3.75,31.9,1,9,164,1,12
gamed,20260707,dtree,3,-0.01,28.3,1,19,110,2,8
gamed,20260707,dtree,4,13.9,37.3,1,28,151,3,11
gamed,20260707,utility,0,-30.15,60.0,draw,9,233,1,17
gamed,20260707,utility,1,-36.0,60.0,draw,0,164,0,12
gamed,20260707,utility,2,11.58,38.6,1,0,233,0,17
gamed,20260707,utility,3,-43.0,60.0,draw,0,82,0,6
gamed,20260707,utility,4,8.77,43.8,1,0,137,0,10
gamee,11,dtree,0,-16.11,18.9,0,33,20,4,2
gamee,11,dtree,1,-16.11,18.9,0,33,20,4,2
gamee,11,dtree,2,-16.11,18.9,0,33,20,4,2
gamee,11,dtree,3,-16.11,18.9,0,33,20,4,2
gamee,11,dtree,4,-16.11,18.9,0,33,20,4,2
gamee,11,utility,0,-47.0,60.0,draw,0,0,0,0
gamee,11,utility,1,35.32,48.6,0,142,70,17,7
gamee,11,utility,2,-176.92,60.0,draw,33,119,4,12
gamee,11,utility,3,-31.03,60.0,draw,84,20,10,2
gamee,11,utility,4,26.67,33.6,0,75,129,9,13
gamee,20260707,dtree,0,-16.11,18.9,0,33,20,4,2
gamee,20260707,dtree,1,-16.11,18.9,0,33,20,4,2
gamee,20260707,dtree,2,-16.11,18.9,0,33,20,4,2
gamee,20260707,dtree,3,-16.11,18.9,0,33,20,4,2
gamee,20260707,dtree,4,-16.11,18.9,0,33,20,4,2
gamee,20260707,utility,0,35.41,55.3,0,151,169,18,17
gamee,20260707,utility,1,51.62,37.8,0,142,139,17,14
gamee,20260707,utility,2,26.24,29.4,0,151,79,18,8
