game,config,reps,mean,std,min,max,drawRate
GameA,r5-med-60s-t45,20,-77.48,153.43,-479.37,32.51,0.370
GameB,r5-med-60s-t45,20,-38.11,22.34,-99.30,-17.73,0.640
GameC,r5-med-60s-t45,20,-0.37,19.35,-37.00,25.21,0.570
GameD,r5-med-60s-t45,20,-21.88,20.41,-46.00,17.53,0.540
GameE,r5-med-60s-t45,20,12.83,15.92,-21.07,29.98,0.370
GameF,r5-med-60s-t45,20,-20.55,19.36,-43.00,9.32,0.470
best,r5-med-60s-t45,20,70.53,8.67,58.76,86.49,0.040
best,r5-med-60s-t45,20,78.96,11.46,55.92,95.44,0.040
best,r5-med-60s-t45,20,51.89,19.70,7.78,81.03,0.160
rand0,r5-med-60s-t45,20,-47.05,0.22,-48.00,-47.00,1.000
rand1,r5-med-60s-t45,20,-46.81,1.47,-51.22,-44.00,1.000
rand2,r5-med-60s-t45,20,-47.00,0.00,-47.00,-47.00,1.000
rand3,r5-med-60s-t45,20,-45.22,6.45,-55.38,-33.00,0.980
rand4,r5-med-60s-t45,20,-47.00,0.00,-47.00,-47.00,1.000
rand5,r5-med-60s-t45,20,-48.05,0.76,-50.00,-47.00,0.980
GameA,r9-med-60s-t45,20,-16.44,51.79,-202.58,30.84,0.367
GameB,r9-med-60s-t45,20,-32.09,8.01,-40.00,-20.00,0.611
GameC,r9-med-60s-t45,20,-10.25,17.78,-35.44,19.90,0.628
GameD,r9-med-60s-t45,20,-25.55,16.86,-43.00,14.22,0.600
GameE,r9-med-60s-t45,20,19.03,9.24,-3.13,29.98,0.306
GameF,r9-med-60s-t45,20,-18.58,17.10,-42.00,6.82,0.489
best,r9-med-60s-t45,20,71.62,7.46,60.69,88.77,0.039
best,r9-med-60s-t45,20,79.49,7.59,68.18,92.99,0.044
best,r9-med-60s-t45,20,52.83,14.36,14.17,71.41,0.156
rand0,r9-med-60s-t45,20,-47.05,0.22,-48.00,-47.00,1.000
rand1,r9-med-60s-t45,20,-47.52,1.79,-52.72,-46.00,1.000
rand2,r9-med-60s-t45,20,-47.00,0.00,-47.00,-47.00,1.000
rand3,r9-med-60s-t45,20,-45.89,4.82,-59.56,-37.00,0.989
rand4,r9-med-60s-t45,20,-47.00,0.00,-47.00,-47.00,1.000
rand5,r9-med-60s-t45,20,-48.05,0.51,-49.00,-47.00,0.956
GameA,r15-med-60s-t45,20,-3.31,26.38,-74.41,32.33,0.393
GameB,r15-med-60s-t45,20,-33.38,7.06,-39.00,-20.00,0.587
GameC,r15-med-60s-t45,20,-15.37,10.94,-34.00,7.61,0.647
GameD,r15-med-60s-t45,20,-32.24,9.25,-42.00,0.43,0.620
GameE,r15-med-60s-t45,20,20.43,9.81,-6.94,29.98,0.330
GameF,r15-med-60s-t45,20,-16.81,17.30,-38.85,2.98,0.463
best,r15-med-60s-t45,20,70.50,5.97,60.69,80.53,0.050
best,r15-med-60s-t45,20,81.51,7.57,66.57,92.99,0.027
best,r15-med-60s-t45,20,58.03,5.37,49.56,69.27,0.140
rand0,r15-med-60s-t45,20,-47.00,0.00,-47.00,-47.00,1.000
rand1,r15-med-60s-t45,20,-47.00,0.00,-47.00,-47.00,0.997
rand2,r15-med-60s-t45,20,-47.00,0.00,-47.00,-47.00,1.000
rand3,r15-med-60s-t45,20,-46.33,3.89,-59.56,-39.00,0.993
rand4,r15-med-60s-t45,20,-47.00,0.00,-47.00,-47.00,1.000
rand5,r15-med-60s-t45,20,-47.90,0.45,-49.00,-47.00,0.947
GameA,r5-mean-60s-t45,20,-180.74,142.53,-559.57,-8.50,0.370
GameB,r5-mean-60s-t45,20,-44.28,16.64,-78.57,-20.32,0.640
GameC,r5-mean-60s-t45,20,-114.37,104.92,-332.23,9.92,0.570
GameD,r5-mean-60s-t45,20,-25.26,13.04,-50.75,-4.84,0.540
GameE,r5-mean-60s-t45,20,6.03,19.82,-49.48,28.78,0.370
GameF,r5-mean-60s-t45,20,-18.96,9.89,-35.87,0.09,0.470
best,r5-mean-60s-t45,20,70.96,7.59,61.12,88.19,0.040
best,r5-mean-60s-t45,20,78.86,10.63,53.70,98.12,0.040
best,r5-mean-60s-t45,20,33.78,36.17,-63.67,64.72,0.160
rand0,r5-mean-60s-t45,20,-48.63,2.02,-53.63,-46.40,1.000
rand1,r5-mean-60s-t45,20,-48.68,2.26,-52.25,-44.80,1.000
rand2,r5-mean-60s-t45,20,-47.19,0.30,-48.04,-46.60,1.000
rand3,r5-mean-60s-t45,20,-65.83,51.05,-255.56,-25.05,0.980
rand4,r5-mean-60s-t45,20,-47.11,0.15,-47.40,-47.00,1.000
rand5,r5-mean-60s-t45,20,-47.30,2.59,-49.00,-38.71,0.980
GameA,r5-med-90s-t45,20,-82.81,157.30,-479.37,32.51,0.300
GameB,r5-med-90s-t45,20,-48.50,22.76,-70.00,-17.73,0.620
GameC,r5-med-90s-t45,20,-50.39,186.44,-737.37,25.21,0.400
GameD,r5-med-90s-t45,20,-23.47,30.59,-73.00,17.53,0.470
GameE,r5-med-90s-t45,20,14.36,19.07,-33.14,32.31,0.260
GameF,r5-med-90s-t45,20,-9.97,16.01,-65.85,9.32,0.190
best,r5-med-90s-t45,20,71.09,8.64,58.76,86.49,0.010
best,r5-med-90s-t45,20,79.85,11.54,55.92,95.44,0.000
best,r5-med-90s-t45,20,53.72,19.49,10.61,81.03,0.060
rand0,r5-med-90s-t45,20,-77.05,0.22,-78.00,-77.00,1.000
rand1,r5-med-90s-t45,20,-75.92,2.97,-82.72,-72.00,0.980
rand2,r5-med-90s-t45,20,-77.00,0.00,-77.00,-77.00,0.990
rand3,r5-med-90s-t45,20,-71.16,8.83,-89.56,-58.00,0.970
rand4,r5-med-90s-t45,20,-77.00,0.00,-77.00,-77.00,1.000
rand5,r5-med-90s-t45,20,-78.20,0.70,-79.00,-77.00,0.880
GameA,r9-med-90s-t45,20,-36.51,81.21,-281.25,30.84,0.289
GameB,r9-med-90s-t45,20,-48.12,22.48,-67.00,-20.00,0.583
GameC,r9-med-90s-t45,20,-4.88,27.66,-54.69,23.02,0.428
GameD,r9-med-90s-t45,20,-33.74,31.35,-72.00,14.22,0.517
GameE,r9-med-90s-t45,20,19.68,14.38,-24.51,31.30,0.189
GameF,r9-med-90s-t45,20,-7.71,7.40,-22.75,6.82,0.183
best,r9-med-90s-t45,20,72.43,7.16,60.69,88.77,0.011
best,r9-med-90s-t45,20,81.36,9.03,68.18,103.66,0.000
best,r9-med-90s-t45,20,59.69,9.93,32.50,74.56,0.033
rand0,r9-med-90s-t45,20,-77.05,0.22,-78.00,-77.00,1.000
rand1,r9-med-90s-t45,20,-76.76,2.32,-82.72,-73.66,0.989
rand2,r9-med-90s-t45,20,-77.05,0.22,-78.00,-77.00,0.994
rand3,r9-med-90s-t45,20,-74.01,7.50,-85.38,-59.00,0.983
rand4,r9-med-90s-t45,20,-77.00,0.00,-77.00,-77.00,1.000
rand5,r9-med-90s-t45,20,-78.05,0.51,-79.00,-77.00,0.850
GameA,r5-med-120s-t45,20,-88.81,161.64,-509.01,32.51,0.260
GameB,r5-med-120s-t45,20,-66.71,38.40,-120.08,-17.73,0.600
GameC,r5-med-120s-t45,20,-165.56,404.17,-1439.89,30.03,0.290
GameD,r5-med-120s-t45,20,-25.42,39.05,-101.00,17.53,0.410
GameE,r5-med-120s-t45,20,12.29,28.52,-74.60,32.31,0.240
GameF,r5-med-120s-t45,20,-11.47,21.86,-95.85,9.32,0.140
best,r5-med-120s-t45,20,71.09,8.64,58.76,86.49,0.010
best,r5-med-120s-t45,20,79.85,11.54,55.92,95.44,0.000
best,r5-med-120s-t45,20,53.72,19.49,10.61,81.03,0.050
rand0,r5-med-120s-t45,20,-107.05,0.22,-108.00,-107.00,1.000
rand1,r5-med-120s-t45,20,-103.74,3.12,-112.72,-99.00,0.950
rand2,r5-med-120s-t45,20,-107.10,0.31,-108.00,-107.00,0.980
rand3,r5-med-120s-t45,20,-98.51,9.97,-115.38,-80.00,0.890
rand4,r5-med-120s-t45,20,-107.05,0.22,-108.00,-107.00,1.000
rand5,r5-med-120s-t45,20,-96.93,20.57,-110.00,-49.48,0.670
GameA,r5-med-90s-t67,20,-93.51,147.22,-474.32,10.51,0.300
GameB,r5-med-90s-t67,20,-44.00,1.59,-48.00,-39.73,0.620
GameC,r5-med-90s-t67,20,-50.30,178.92,-715.37,40.22,0.400
GameD,r5-med-90s-t67,20,-20.84,16.43,-51.00,5.85,0.470
GameE,r5-med-90s-t67,20,5.28,11.61,-11.30,34.38,0.260
GameF,r5-med-90s-t67,20,-13.69,12.12,-43.85,8.37,0.190
best,r5-med-90s-t67,20,55.06,10.84,37.32,69.54,0.010
best,r5-med-90s-t67,20,61.22,14.20,33.92,83.43,0.000
best,r5-med-90s-t67,20,39.74,24.67,-11.39,78.89,0.060
rand0,r5-med-90s-t67,20,-55.05,0.22,-56.00,-55.00,1.000
rand1,r5-med-90s-t67,20,-53.92,2.97,-60.72,-50.00,0.980
rand2,r5-med-90s-t67,20,-55.00,0.00,-55.00,-55.00,0.990
rand3,r5-med-90s-t67,20,-49.16,8.83,-67.56,-36.00,0.970
rand4,r5-med-90s-t67,20,-55.00,0.00,-55.00,-55.00,1.000
rand5,r5-med-90s-t67,20,-56.20,0.70,-57.00,-55.00,0.880
